image.jpg,caption
Basketball player dunking.jpg,"A basketball player leaping to dunk the ball during a game"
Basketball player dunking.jpg,"A tall athlete in a white jersey slam dunks during a night game"
Basketball player dunking.jpg,"Close-up of a dunking motion with the ball about to enter the hoop"
beach.jpg,"A serene beach with golden sand and gentle ocean waves at sunset"
beach.jpg,"Empty tropical beach with turquoise water and palm trees"
beach.jpg,"Sunset creating pink reflections on wet sand at low tide"
classic red car on road.jpg,"A vintage red car parked on a scenic countryside road"
classic red car on road.jpg,"Shiny vintage red convertible parked on a mountain road"
classic red car on road.jpg,"1950s classic car with chrome details on a scenic route"
Colour Splash.jpg,"Vibrant abstract painting with splashes of blue and yellow acrylic colors"
Colour Splash.jpg,"Close-up of watercolor pigments mixing on wet paper"
Colour Splash.jpg,"Colorful acrylic paint splatters on a white background"
Crowded city crosswalk at night.jpg,"Pedestrians crossing a busy neon-lit intersection in Tokyo at night"
Crowded city crosswalk at night.jpg,"Long exposure of people walking at a crosswalk with traffic lights"
Crowded city crosswalk at night.jpg,"Urban night scene with umbrellas and glowing advertisements"
dog.jpg,"A brown dog sitting on grass with its tongue out"
dog.jpg,"Medium-sized dog with floppy ears looking at the camera"
dog.jpg,"Happy mixed-breed dog resting on a green lawn"
Golden retriever playing fetch.jpg,"A happy golden retriever running with a tennis ball in its mouth"
Golden retriever playing fetch.jpg,"Playful dog catching a yellow ball mid-air in a field"
Golden retriever playing fetch.jpg,"Adult golden dog returning with a stick to its owner"
Guitar talent.jpg,"A street musician playing acoustic guitar for a crowd"
Guitar talent.jpg,"Musician with open guitar case playing folk songs downtown"
Guitar talent.jpg,"Close-up of fingers playing chords on a worn wooden guitar"
Homemade pizza with toppings.jpg,"Freshly baked pizza with melted cheese and pepperoni toppings"
Homemade pizza with toppings.jpg,"Wood-fired pizza with mushrooms and olives on a cutting board"
Homemade pizza with toppings.jpg,"Homestyle pizza with perfect crust and colorful toppings"
Laptop with code on screen.jpg,"A programmer working on Python code displayed on a MacBook screen"
Laptop with code on screen.jpg,"Python code editor with colorful syntax highlighting"
Laptop with code on screen.jpg,"Developer working on JavaScript code in a dark IDE theme"
Sunset over ocean waves.jpg,"Dramatic orange sunset reflecting on calm ocean waters"
Sunset over ocean waves.jpg,"Silhouette of palm trees against a pink sunset over water"
Sunset over ocean waves.jpg,"Peaceful evening seascape with gradient sky colors"
Waterfall in a tropical forest.jpg,"A majestic waterfall cascading through lush green jungle foliage"
Waterfall in a tropical forest.jpg,"Long exposure of silky smooth waterfall in Costa Rica"
Waterfall in a tropical forest.jpg,"Tourists admiring a powerful waterfall from a viewpoint"
